2272, 2260, 2272, 2302
0.000, 0.000, 0.000, 52.512
2269, 2263, 2266, 2304
-0.001, -0.000, 0.000, -7.302
2280, 2259, 2279, 2305
-0.001, -0.000, 0.001, 26.194
2270, 2264, 2279, 2305
0.638, 0.000, -0.001, 9.446
2288, 2272, 2288, 2312
3.126, -0.003, -0.002, 198.460
2272, 2272, 2289, 2329
8.299, -0.021, -0.005, 2.268
2272, 2285, 2314, 2346
14.397, -0.067, -0.010, 33.372
2288, 2283, 2359, 2368
21.526, -0.152, -0.013, -14.480
2280, 2282, 2384, 2409
28.769, -0.245, -0.013, 93.186
2308, 2290, 2422, 2448
35.750, -0.338, -0.013, 215.208
2336, 2320, 2469, 2492
42.278, -0.412, -0.010, 14.231
2368, 2341, 2514, 2544
48.026, -0.468, -0.009, 86.008
2393, 2369, 2592, 2584
52.707, -0.517, -0.012, -136.501
2400, 2376, 2598, 2608
54.995, -0.546, -0.013, -38.406
2384, 2380, 2610, 2608
55.974, -0.560, -0.014, -31.228
2388, 2378, 2642, 2616
57.108, -0.576, -0.015, 83.616
2400, 2378, 2626, 2621
57.168, -0.577, -0.013, 102.756
2384, 2384, 2626, 2613
57.085, -0.576, -0.013, -191.531
2380, 2362, 2592, 2584
53.116, -0.520, -0.015, -81.472
2368, 2338, 2513, 2528
47.184, -0.431, -0.015, -16.872
2328, 2304, 2452, 2462
38.954, -0.310, -0.014, 107.542
2288, 2292, 2392, 2432
31.530, -0.213, -0.011, -28.835
2274, 2288, 2356, 2384
24.713, -0.146, -0.009, -454.714
2273, 2281, 2330, 2360
17.050, -0.085, -0.007, -24.050
2272, 2281, 2300, 2324
9.974, -0.043, -0.004, -21.658
2272, 2276, 2288, 2309
5.370, -0.029, -0.003, 83.616
2272, 2266, 2274, 2306
1.445, -0.017, -0.003, -57.546
2278, 2280, 2272, 2296
-1.926, -0.007, -0.003, 86.008
2274, 2262, 2256, 2280
-4.881, -0.002, -0.001, -213.064
2268, 2265, 2243, 2260
-11.093, -0.007, 0.002, -64.724
2272, 2258, 2229, 2248
-16.702, -0.022, 0.004, -4.910
2282, 2257, 2210, 2240
-21.795, -0.052, 0.008, 222.385
2272, 2259, 2193, 2231
-25.297, -0.087, 0.012, 52.512
2268, 2264, 2195, 2224
-29.947, -0.152, 0.016, 181.712
2270, 2256, 2192, 2220
-32.810, -0.199, 0.017, 160.178
2276, 2256, 2183, 2208
-37.525, -0.280, 0.018, -88.650
2268, 2248, 2176, 2208
-41.455, -0.350, 0.018, 4.661
2273, 2276, 2166, 2197
-43.526, -0.387, 0.017, 76.438
2272, 2256, 2169, 2200
-45.385, -0.418, 0.016, -19.265
2271, 2262, 2163, 2200
-47.262, -0.449, 0.016, -241.775
2257, 2258, 2179, 2200
-48.221, -0.464, 0.014, 14.231
2258, 2282, 2176, 2196
-48.225, -0.464, 0.014, -28.835
2261, 2264, 2162, 2200
-48.485, -0.468, 0.016, -2.517
2264, 2258, 2160, 2189
-50.337, -0.496, 0.014, 200.852
2257, 2262, 2160, 2196
-50.370, -0.496, 0.014, -47.976
2272, 2282, 2155, 2201
-50.124, -0.493, 0.014, 107.542
2253, 2262, 2192, 2192
-45.231, -0.429, 0.011, 172.141
2261, 2272, 2182, 2208
-36.186, -0.359, 0.005, 133.860
2272, 2272, 2197, 2213
-27.372, -0.319, 0.006, -124.538
2272, 2264, 2203, 2237
-18.143, -0.245, 0.011, 88.401
2284, 2263, 2219, 2260
-9.471, -0.135, 0.014, 7.053
2269, 2271, 2233, 2284
-1.941, -0.020, 0.016, -153.249
2289, 2254, 2256, 2299
3.715, 0.069, 0.014, -4.910
2282, 2256, 2265, 2313
7.967, 0.130, 0.015, -83.865
2288, 2264, 2272, 2320
9.572, 0.154, 0.016, -93.435
2273, 2260, 2272, 2321
9.391, 0.151, 0.016, 14.231
2304, 2257, 2272, 2322
9.390, 0.151, 0.016, -26.443
2274, 2272, 2272, 2322
9.390, 0.151, 0.016, 2.268
2282, 2256, 2274, 2316
9.390, 0.151, 0.016, 52.512
2273, 2272, 2272, 2320
9.390, 0.151, 0.016, 7.053
2280, 2256, 2262, 2311
9.390, 0.151, 0.016, 14.231
2304, 2258, 2258, 2312
9.390, 0.151, 0.016, -0.124